"Source","Publication","Table","Variables","AllVariables"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Time period","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Time identifier","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Geographic level","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Country code","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Country name","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Level","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Age youth adult","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Age group","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Sex","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Lldd","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Minority ethnic","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Ethnicity major","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Leavers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Completers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Achievers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Retention.rate","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
