"Organisation","Statistical Release","Description","Contact"
"BEIS","<a href='https://www.gov.uk/government/collections/business-population-estimates'>Business population estimates</a>","The Business population estimates for the United Kingdom (UK) and regions (BPE) publication provides the only official estimate of the total number of private sector businesses in the UK at the start of each year, with their associated employment and turnover","Darren Barton: business.statistics@beis.gov.uk"
"DfE","<a href='https://www.gov.uk/government/statistics/apprenticeships-in-england-by-industry-characteristics'>​Apprenticeships in England by industry characteristics</a>","Statistics on apprenticeship starts by employer size, sector and region.","Alicia.Heptinstall@education.gov.uk"
"DfE","<a href='https://www.gov.uk/government/collections/statistics-outcome-based-success-measures'>​Outcome based success measures</a>","​​Statistics on employment, earnings and continued education of adults finishing funded further education training.","UFS.Contact@education.gov.uk"
"DfE","<a href='https://www.gov.uk/government/collections/statistics-attainment-at-19-years'>16 to 19 attainment</a>","Statistics on the attainment of 16 to 19-year-olds in England, including exam results and performance tables.","Michael Greer: Attainment.STATISTICS@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures'>16-18 destination measures</a>","Students continuing to education, apprenticeship or employment destinations in the year after completing 16 to 18 study in schools and colleges in England.","Jan Hagenbart Destination.MEASURES@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","In-year data on apprenticeships and traineeships in England","Mathew Rolfe FE.OFFICIALSTATISTICS@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships (16+)</a>","Information on all age (16+) apprenticeships starts, achievements and participation in England for an academic year","Mathew Rolfe FE.OFFICIALSTATISTICS@education.gov.uk"
"DfE","<a href='0'>Career pathways: post-16 qualifications held by employees</a>","Linking the industry sector of young employees  with the education achievements that helped guide them there","ufs.contact@education.gov.uk"
"DfE","<a href='https://www.gov.uk/government/collections/statistics-destinations'>Destinations of key stage 4 and key stage 5 pupils</a>","Statistics on educational or employment destinations of key stage 4 and key stage 5 students.","Jan Hagenbart Destination.MEASURES@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/detailed-destinations-of-16-to-18-year-olds-in-further-education'>Nicholas Treece: Detailed destinations of 16 to 18 year olds in FE</a>","Qualification level statistics on the destinations of 16-18 year olds in Further Education settings, who achieved a qualification at the end of study.  In addition to overall employment and learning destination measures for each qualification, it provides data on the industry sector of those in sustained employment and the subject area of those in a learning destination. ","ufs.contact@education.gov.uk"
"DfE","<a href='0'>Education and training statistics for the UK</a>","Compilation of information on education systems across the United Kingdom. Education is devolved in the UK, so each part of the United Kingdom has a separate education system.","Guenevere Kiely: InternationalEvidence.STATISTICS@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/employer-skills-survey'>Employer Skills Survey</a>","Publication of key indicators from the Employer Skills Survey 2019 as official statistics. It covers England, Wales and Northern Ireland.","Alice Phillips: Employer.SURVEYS@education.gov.uk"
"DfE","<a href='https://www.gov.uk/government/collections/further-education-and-skills-statistical-first-release-sfr'>Further education and skills</a>","Statistics covering participation, learner outcomes and highest qualification held in the further education (FE) and skills sector.","Mathew Rolfe FE.OFFICIALSTATISTICS@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/further-education-and-skills'>Further education and skills 19+</a>","Provisional in-year data on adult (19+) further education (FE) and skills in England for the first two quarters of the 2022/23 academic year (August 2022 to January 2023). This includes apprenticeships and traineeships in the overall FE and skills numbers","Mathew Rolfe FE.OFFICIALSTATISTICS@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/fe-learners-going-into-employment-and-learning-destinations-by-local-authority-district'>FE learners going into employment and learning destinations by local authority district</a>","Supplementary data from the ‘Further education: outcome-based success measures 2017/18’ publication.

The numbers (rather than rates) of learners that are counted in each measure, broken down by local authority district level are presented here.","Nicholas Treece: FE.OUTCOMESDATA@education.gov.uk"
